log2FoldChange padj pval genes gene_type
74 -0.425493386588007 8.92422614294849e-05 5.1166727990615e-07 TOX4 downregulated
75 -0.830713799917062 9.01909404894896e-05 5.213106148649e-07 STX12 downregulated
76 -2.31719769485784 9.1194736675393e-05 5.31363542834295e-07 SST downregulated
77 -0.788100372554834 9.66874361164892e-05 5.84415475411801e-07 MCM6 downregulated
78 -0.873070251198954 9.66874361164892e-05 5.90409459341821e-07 PSMC2 downregulated
79 -0.74548171220042 9.82833399888944e-05 6.09317308466086e-07 TMEM141 downregulated
80 -0.751220559934397 9.89844606686827e-05 6.18277990472357e-07 PEBP1 downregulated
81 -0.802505132297944 0.000102689283033465 6.46205808489154e-07 TMEM261 downregulated
82 -0.853941878143923 0.000103915188495152 6.63607925410701e-07 MAK16 downregulated
83 -0.822934238548253 0.000105050780900128 6.75756666397134e-07 NARS downregulated
84 -0.419959122454015 0.000108175567558726 7.00899822433361e-07 RRP36 downregulated
85 -1.11568771102791 0.000111780182790075 7.44652876044897e-07 NHLRC1 downregulated
86 -0.649197766294051 0.000114409497727976 7.73289384727382e-07 CXorf56 downregulated
87 -0.62670245977431 0.000116997211798484 8.01686949814811e-07 POLR2C downregulated
88 -0.666462718733283 0.000117612186848879 8.11383193662149e-07 NDUFS1 downregulated
89 -0.949588438380848 0.000123630274425207 8.60961326166065e-07 SBDS downregulated
90 -0.773347719894582 0.000123630274425207 8.6442647479518e-07 EAPP downregulated
91 -0.849017542402727 0.00012684721473075 9.14071891404253e-07 TRAPPC13 downregulated
92 -0.977438516512693 0.000128754581673513 9.36266011330256e-07 TCEAL7 downregulated
93 -0.935171803699728 0.00013120748572805 9.60218862597488e-07 FEN1 downregulated
94 -0.44159785443246 0.000148322188037631 1.12695271757488e-06 CEP68 downregulated
95 -0.686247289137006 0.000148322188037631 1.12209106266347e-06 PRAF2 downregulated
96 -0.577790288931675 0.000151194381920321 1.17396955005859e-06 DGUOK downregulated
97 -0.907927985907864 0.000151194381920321 1.17645604218284e-06 ZNF449 downregulated
98 -0.700687658252878 0.000151194381920321 1.20563046935987e-06 ANXA7 downregulated
99 -0.639392178765416 0.000151194381920321 1.16233406209516e-06 CYB5D2 downregulated
100 -0.607042413572868 0.000154175785763654 1.24663971721104e-06 TIMM8B downregulated
101 -0.723835717923789 0.000154175785763654 1.2504818311134e-06 C17orf58 downregulated
102 -0.734875649366029 0.000158205090241293 1.29053702476233e-06 TRAPPC4 downregulated
103 -0.563044652560936 0.000160232014311148 1.32245679191113e-06 XXYLT1 downregulated
104 -0.884872059694692 0.000160232014311148 1.32690292098853e-06 PPP1R2 downregulated
105 -0.873737617238185 0.000160232014311148 1.33423334904814e-06 PSMB7 downregulated
106 -2.65241715852709 0.000160232014311148 1.34193099422804e-06 CTSV downregulated
107 -0.455974883974767 0.000160637981194516 1.37028623309544e-06 KARS downregulated
108 -0.498107299297203 0.000167484121570325 1.45210677350862e-06 ESYT1 downregulated
109 -0.722017659835461 0.000167484121570325 1.44318512203779e-06 CBX4 downregulated
110 -0.442107235812669 0.000167484121570325 1.44730056877202e-06 SAMM50 downregulated
111 -0.771310208860179 0.000168657194287878 1.49095220224327e-06 CEP41 downregulated
112 -0.683949699735403 0.000168657194287878 1.49372427701006e-06 ACP2 downregulated
113 -0.471646251327498 0.000168657194287878 1.48215505873291e-06 EIF5A downregulated
114 -0.647911818165317 0.000169017935258843 1.54419033751612e-06 EPRS downregulated
115 -0.559735637341246 0.000169017935258843 1.51477491281489e-06 PPP2R2B downregulated
116 -0.587436378943135 0.000169017935258843 1.51458742710102e-06 ALYREF downregulated
117 -0.688106365471291 0.000170547698961995 1.57406630282362e-06 TMX2 downregulated
118 -0.87455895255098 0.000172947051648925 1.62039609292099e-06 NDUFB5 downregulated
119 -0.503881185076807 0.00017410619653776 1.63937219506025e-06 KPNB1 downregulated
120 -0.564079817806733 0.000177198042017698 1.6767446291704e-06 UBL5 downregulated
121 -1.08644759192446 0.000179621590844843 1.73316875518028e-06 PGRMC1 downregulated
122 -0.636654609941468 0.000179621590844843 1.7296589366617e-06 SLC25A3 downregulated
123 -0.63046092366168 0.000188905472421419 1.83155448019648e-06 TMEM208 downregulated
