log2FoldChange padj Yekutielipval pval genes gene_type
1 -1.55787738331379 1.74041873536047e-10 2.25719926064365e-09 1.66890610860667e-14 RPH3A downregulated
2 -2.42357520782246 2.09569511787806e-10 2.71796744915476e-09 3.01437663788377e-14 VGF downregulated
3 -0.91177634304 4.59158301149567e-07 5.95495645281329e-06 8.80583595242973e-11 DUSP6 downregulated
4 -1.9709785565041 1.3429539013687e-06 1.74171565248067e-05 3.84647068571161e-10 ADCYAP1 downregulated
5 -2.09560511302508 1.35293212091945e-06 1.75465669323994e-05 4.54069369824815e-10 LOC101926975 downregulated
6 -2.6007783852925 1.65521550508234e-06 2.14669673359034e-05 7.93601910669002e-10 CRH downregulated
7 -1.95509644615567 1.78124650559107e-06 2.31014997354158e-05 9.3943096137996e-10 PCSK1 downregulated
8 -1.80740267407894 1.85516624291146e-06 2.40601861310319e-05 1.06736323128626e-09 NEUROD6 downregulated
9 -2.29300850434638 2.45734475975254e-06 3.18700130156388e-05 1.53164318342921e-09 C6orf223 downregulated
10 -1.78584450819562 3.84850217059266e-06 4.99123347591868e-05 2.5832588765545e-09 NAT16 downregulated
11 -1.79774347534856 4.32252095083096e-06 5.60600210518392e-05 3.73042034400716e-09 PPEF1 downregulated
12 -1.01730657594045 6.41779784439776e-06 8.32342714716564e-05 5.84639013489751e-09 DHRS11 downregulated
13 -1.49901217510605 9.87791075103729e-06 0.000128109473834912 9.47203409026925e-09 USP2-AS1 downregulated
14 -1.96565112580908 1.1702544014564e-05 0.000151773668948999 1.34660332909592e-08 MPO downregulated
15 -1.95437607973749 1.67823517961034e-05 0.00021765516134932 2.09206092294524e-08 MAS1 downregulated
16 -1.30046019290363 2.7950396376775e-05 0.000362496752962652 3.88628036115681e-08 MSC downregulated
17 -0.659256576524404 2.98127188106335e-05 0.000386649749798294 4.43109883075053e-08 ICA1 downregulated
18 -1.22704779215467 3.14405742329593e-05 0.000407761876328853 4.82379237404563e-08 NRN1 downregulated
19 -0.753615881519896 3.2345141332889e-05 0.000419493467972177 5.27273723602736e-08 NRSN2 downregulated
20 -2.74263493149993 3.26249554290905e-05 0.000423122457698795 5.6311952603311e-08 SELE downregulated
21 -0.900726040164646 4.34198473758508e-05 0.000563124525166247 7.70261472362506e-08 C2orf16 downregulated
22 -1.49751242331969 4.42240159875271e-05 0.000573554019855252 8.05730741490162e-08 BAALC-AS1 downregulated
23 -1.47189235382341 4.60560485332371e-05 0.000597314178394312 8.61190915662006e-08 ALOX12B downregulated
24 -0.838688424813977 5.68662164973833e-05 0.000737514364937643 1.09059244373368e-07 F8 downregulated
25 -0.560592180351451 5.85813690289012e-05 0.000759758672858354 1.17966030551558e-07 CRY2 downregulated
26 -0.854597167838352 8.33445923325624e-05 0.00108092005888883 1.798200438685e-07 TARBP1 downregulated
27 -0.999829125312721 9.07155405476997e-05 0.00117651601245689 2.08771441064851e-07 PCYOX1L downregulated
28 -0.676214340178366 9.7115860979212e-05 0.00125952361431944 2.28157318309507e-07 CCDC113 downregulated
29 -0.892566913528376 9.9037979150499e-05 0.001284452119322 2.38111860550478e-07 KCNF1 downregulated
30 -0.571496164073933 9.9037979150499e-05 0.001284452119322 2.454200050454e-07 TRAPPC1 downregulated
31 -2.13610837767834 0.000110521329175942 0.00143338299819911 2.86146223114583e-07 LINC00898 downregulated
32 -3.97117710994395 0.000117910890552648 0.00152922035122856 3.10931532837687e-07 LOC401557 downregulated
33 -0.737036170595371 0.000119101566266942 0.00154466256802023 3.22432506226037e-07 HEY1 downregulated
34 -1.08034769333193 0.000119101566266942 0.00154466256802023 3.25492126250932e-07 THCAT155 downregulated
35 -0.901105754432403 0.000155895583924918 0.00202185479634045 4.55944316988062e-07 ZNF449 downregulated
36 -0.580290822410395 0.000156244002931659 0.00202637354294108 4.71945734510931e-07 PDE10A downregulated
37 -0.604430648656883 0.000162986121437883 0.00211381402262697 5.07939679410386e-07 RTF1 downregulated
38 -1.02925358729708 0.000168286020441638 0.002182549941574 5.40593727266135e-07 PCDHGC5 downregulated
39 -1.44689452600081 0.000206491184283766 0.00267804373180465 7.00770662776541e-07 SOWAHB downregulated
40 -0.659805078492057 0.000206491184283766 0.00267804373180465 6.79463587803105e-07 TECTA downregulated
41 -0.522660139278884 0.000206491184283766 0.00267804373180465 7.12291116931909e-07 MED29 downregulated
42 -0.643440480669345 0.000229156900751515 0.0029720019466498 8.14666057369419e-07 WDR31 downregulated
43 -1.49097683438659 0.000229156900751515 0.0029720019466498 8.22966078653858e-07 LINC01168 downregulated
44 -1.2288714108273 0.000278804398808218 0.00361589466987532 1.04265920827737e-06 PRMT8 downregulated
45 -1.14163082282927 0.000288525394682591 0.00374196906941234 1.09284682264586e-06 SPRED3 downregulated
46 -1.83742618641077 0.000293978188712456 0.00381268792805589 1.12759529639912e-06 HES5 downregulated
47 -1.29876968037688 0.00029812708750436 0.00386649619324691 1.1744253154325e-06 OTOGL downregulated
48 -0.545801374906476 0.000333596264680761 0.00432650618320848 1.34353388469981e-06 ETS2 downregulated
49 -1.29142751659708 0.00035168432390603 0.00456109544084079 1.43324387649291e-06 LOC285762 downregulated
50 -1.44971827702052 0.000356672145895815 0.00462578394297434 1.5219744442982e-06 FAM86B3P downregulated
51 -0.806709235894454 0.000356672145895815 0.00462578394297434 1.49716195218756e-06 HMGB3 downregulated
52 -2.26010323977982 0.000367226662670169 0.00476266851549412 1.61983281227672e-06 LINC01257 downregulated
53 -1.77723635979218 0.000367934003082196 0.00477184221733156 1.64059367534373e-06 LOC102723493 downregulated
