"log2FoldChange" "padj" "genes" "gene_type"
"1" 1.17905479421042 3.16381700219328e-12 "KLF15" "upregulated"
"2" 1.07548059905294 1.3429539013687e-06 "PRKX" "upregulated"
"3" 1.2070531978061 1.65521550508234e-06 "GAS2L3" "upregulated"
"4" 0.738236951420972 1.65521550508234e-06 "NFKBIA" "upregulated"
"5" 1.02366707240647 3.92131704276361e-06 "SLC38A2" "upregulated"
"6" 1.40283580691572 4.32252095083096e-06 "GNRH1" "upregulated"
"7" 0.75110651312379 4.32252095083096e-06 "MPST" "upregulated"
"8" 0.34790039211023 1.05667624926016e-05 "RAF1" "upregulated"
"9" 0.612044548075625 1.06943122567737e-05 "ANAPC16" "upregulated"
"10" 1.23155209738562 1.06943122567737e-05 "TJP3" "upregulated"
"11" 0.76981408164568 1.54095905042522e-05 "C1orf226" "upregulated"
"12" 2.06195915261345 1.88152084954186e-05 "SGO1" "upregulated"
"13" 0.477111141690762 2.45646345696586e-05 "HP1BP3" "upregulated"
"14" 1.56884416249892 2.98127188106335e-05 "LOC102724596" "upregulated"
"15" 0.573478241786611 3.2345141332889e-05 "TRAF3IP2-AS1" "upregulated"
"16" 0.989959805396617 3.25771122226763e-05 "P2RX7" "upregulated"
"17" 1.00517665799095 5.72441336231006e-05 "ERI3-IT1" "upregulated"
"18" 0.483842804593118 6.96162827843202e-05 "SYS1" "upregulated"
"19" 1.37364571698725 7.47474080987601e-05 "NEAT1" "upregulated"
"20" 0.693870559102742 8.53281490552175e-05 "STARD10" "upregulated"
"21" 1.44062880375759 8.95719743167849e-05 "LOC100506136" "upregulated"
"22" 2.05540169339727 9.9037979150499e-05 "LINC00463" "upregulated"
"23" 1.40828726688529 0.000105846841534977 "ADRA2B" "upregulated"
"24" 0.601884074057239 0.000129741241468577 "RNASEH2C" "upregulated"
"25" 1.63748324159608 0.000134709969650858 "FAAHP1" "upregulated"
"26" 0.568858020597431 0.000155887385337934 "DFFB" "upregulated"
"27" 0.62682979792245 0.000156208177564352 "RAD52" "upregulated"
"28" 0.657695128413597 0.00015996952445792 "ARL6IP6" "upregulated"
"29" 1.42923784048528 0.000167289056784847 "AKR1C2" "upregulated"
"30" 0.430342801578878 0.000206491184283766 "SMG9" "upregulated"
"31" 0.73543674078644 0.000206491184283766 "LINC01530" "upregulated"
"32" 0.848894832232883 0.000229156900751515 "DNA2" "upregulated"
"33" 0.830116779092051 0.000236003247575794 "RGCC" "upregulated"
"34" 1.11351142143816 0.000251156056610779 "C6orf118" "upregulated"
"35" 0.57848047291056 0.00029812708750436 "RBM48" "upregulated"
"36" 0.767181972314609 0.00029812708750436 "TOB2" "upregulated"
"37" 0.543865504641267 0.000352988176402059 "SMAD4" "upregulated"
"38" 0.577357475736112 0.000356672145895815 "USP31" "upregulated"
"39" 1.56164454249522 0.000365753744193686 "LOC100129316" "upregulated"
"40" 1.01789307052438 0.000367226662670169 "SLC6A9" "upregulated"
"41" 0.454572123944342 0.000369908337439322 "UBIAD1" "upregulated"
"42" 1.10783541356813 0.00037658140611989 "CCNA2" "upregulated"
"43" 0.860088312417242 0.00037658140611989 "RAMP2-AS1" "upregulated"
"44" 2.15719038055404 0.000377920750543944 "CYP4B1" "upregulated"
"45" 0.702115753943927 0.000382283447172207 "SNRNP48" "upregulated"
"46" 1.4287756295276 0.000383760234732585 "ADAMTS2" "upregulated"
"47" 1.4747372729281 0.000410066336938253 "C7orf61" "upregulated"
"48" 1.09104706829054 0.000428260190359022 "CPM" "upregulated"
"49" 0.745178906466055 0.000433423129846536 "PAN2" "upregulated"
"50" 0.339993762110337 0.00045261243095601 "SH3YL1" "upregulated"
"51" 0.427369388885986 0.000454785711138817 "SMG5" "upregulated"
"52" 0.523840004789763 0.000454785711138817 "ZBTB16" "upregulated"
"53" 0.743539555379931 0.000459122920900562 "TCTE3" "upregulated"
"54" 0.855722201383439 0.000496979385531384 "LHX4-AS1" "upregulated"
"55" 3.29621922354883 0.000547962391517365 "NPC1L1" "upregulated"
"56" 0.542028224689528 0.000548200200814699 "CLN3" "upregulated"
"57" 0.535379781765055 0.000560323324421505 "ZBTB40" "upregulated"
"58" 0.655261269635393 0.000600910852383181 "POGK" "upregulated"
"59" 1.77854649487803 0.000609469583649971 "LINC01338" "upregulated"
"60" 1.08430079307534 0.000610230923687994 "DNAH11" "upregulated"
"61" 1.44760178085856 0.000627077321091967 "SH2D6" "upregulated"
"62" 0.948385110273397 0.000687393760951136 "TUBB1" "upregulated"
"63" 0.88676713731693 0.00069654536041366 "ANKRD23" "upregulated"
"64" 0.777694794224405 0.00069654536041366 "CCDC144CP" "upregulated"
"65" 1.32882584630137 0.000713595125234393 "MRGPRF" "upregulated"
"66" 1.08612497892959 0.000748674971093566 "MC1R" "upregulated"
"67" 2.15167828462405 0.000764526345038333 "GMNC" "upregulated"
"68" 0.498624385757931 0.000797627002834264 "XKR8" "upregulated"
"69" 1.39062609535674 0.000802510306847644 "LBX2" "upregulated"
"70" 1.11360855591031 0.000823190757027615 "MGC16025" "upregulated"
"71" 0.479220513009525 0.000841361084973907 "TFDP2" "upregulated"
"72" 0.474844754840045 0.000841361084973907 "PPP4R2" "upregulated"
"73" 0.542875811548108 0.000841361084973907 "N4BP2L2-IT2" "upregulated"
"74" 0.927966194110547 0.00085599948341112 "JADE3" "upregulated"
"75" 0.755335358751973 0.00087183335560264 "PHF19" "upregulated"
"76" 0.913109512290831 0.00087183335560264 "NRIP2" "upregulated"
"77" 0.884072175065156 0.000878907369844762 "TEKT2" "upregulated"
