ID	adj.P.Val	P.Value	t	B	logFC	FC	Gene.symbol	Gene.title
10025905572	1,88E-11	4,32E-12	7,3102446	16,7218577	0,0622	1,04405665437504	ZNF143	zinc finger protein 143
10023807976	1,48E-08	4,48E-09	6,0975417	9,9290223	0,0621	1,04398428839045	ZC3H4	zinc finger CCCH-type containing 4
10023851306	0,0203	0,0126	2,5138297	-4,1842425	0,0619	1,04383957146849	ZDHHC11	zinc finger, DHHC-type containing 11
10023809560	1,98E-11	4,54E-12	7,3018606	16,67215	0,0619	1,04383957146849	ZNF592	zinc finger protein 592
10025906867	4,87E-16	7,02E-17	9,0277439	27,5753611	0,0619	1,04383957146849	ZNF607	zinc finger protein 607
10025911470	2,06E-09	5,71E-10	6,4722611	11,9384487	0,0618	1,04376722053042	ZHX1	zinc fingers and homeoboxes 1
10025902424	8,6E-11	2,1E-11	7,0455386	15,1698836	0,0616	1,04362253369836	ZNF350	zinc finger protein 350
10031920250	1,76E-09	4,85E-10	6,5015097	12,0988156	0,0612	1,04333322020086	ZNF321	zinc finger protein 321
10023814420	5,62E-13	1,11E-13	7,9022161	20,3180751	0,0611	1,04326090435917	ZNF319	zinc finger protein 319
10025912153	9,83E-09	2,91E-09	6,177052	10,3482771	0,0609	1,04311628771258	ZNF616	zinc finger protein 616
10025914455	7,18E-14	1,3E-14	8,238002	22,4293052	0,0609	1,04311628771258	ZNF783	zinc finger protein 783
10025935376	1,72E-10	4,32E-11	6,9230304	14,4640838	0,0607	1,04297169111272	ZNF30	zinc finger protein 30
10025912523	4,23E-09	1,21E-09	6,337185	11,2043726	0,0607	1,04297169111272	ZNF575	zinc finger protein 575
10023805762	3,42E-11	8,05E-12	7,2067938	16,1110151	0,0601	1,04253802156575	ZNF507	zinc finger protein 507
10025931078	0,00019	8,83E-05	3,9911364	0,3990268	0,06	1,04246576084112	ZNF627	zinc finger protein 627
10025910823	2,06E-05	8,55E-06	4,5531873	2,6227722	0,0597	1,04224900871718	OMA1	OMA1 homolog, zinc metallopeptidase (S. cerevisiae)
10025912906	9,22E-07	3,3E-07	5,2587816	5,7547833	0,0587	1,04152682707335	ZNF664	zinc finger protein 664
10025904046	1,27E-06	4,62E-07	5,1888823	5,4284069	0,0571	1,04037237714079	ZC3H18	zinc finger CCCH-type containing 18
10025910734	5,24E-11	1,26E-11	7,1320744	15,6732429	0,0561	1,03965149582813	ZNF511	zinc finger protein 511
10025906561	6,79E-07	2,4E-07	5,3241256	6,0629876	0,0559	1,03950737951712	ZNF189	zinc finger protein 189
10023837841	2,37E-12	5E-13	7,6620739	18,8391212	0,0559	1,03950737951712	ZNF343	zinc finger protein 343
10025908136	5,61E-12	1,22E-12	7,5176242	17,9625388	0,0556	1,03929124250733	ZNF317	zinc finger protein 317
10025903869	1,65E-12	3,41E-13	7,7234708	19,2147038	0,0551	1,03893111401918	ZNF227	zinc finger protein 227
10023831082	4,44E-08	1,4E-08	5,8831063	8,8180226	0,0551	1,03893111401918	ZNF253	zinc finger protein 253
10025907244	3,26E-08	1,02E-08	5,9438611	9,1298417	0,0546	1,03857111032043	ZNF300	zinc finger protein 300
10023827397	1,85E-09	5,1E-10	6,4922772	12,0481408	0,0546	1,03857111032043	ZNF313	zinc finger protein 313
10025912827	1,01E-09	2,73E-10	6,6028605	12,6583482	0,0542	1,03828319718074	ZNF683	zinc finger protein 683
10031919958	3,67E-06	1,4E-06	4,9546426	4,3600684	0,0541	1,03821123136784	ZNF409	zinc finger protein 409
10023817347	1,58E-10	3,96E-11	6,9376564	14,5479235	0,054	1,03813927054306	ZNF84	zinc finger protein 84
10023850820	6,33E-05	2,78E-05	4,2766096	1,4973097	0,0539	1,03806731470604	ZMYND15	zinc finger, MYND-type containing 15
10025902197	1,19E-07	3,89E-08	5,6866061	7,825829	0,0538	1,03799536385646	ZFX	zinc finger protein, X-linked
10025922633	0,000133	6,06E-05	4,0856465	0,75538	0,052	1,03670110101972	ZNF404	zinc finger protein 404
10025904026	0,00028	0,000132	3,8874132	0,0163066	0,0518	1,03655739369193	ZNF430	zinc finger protein 430
10025902298	6,17E-08	1,97E-08	5,818387	8,4884618	0,0501	1,03533668542473	ZFP3	zinc finger protein 3 homolog (mouse)
10023815590	1,58E-05	6,49E-06	4,6160681	2,8868874	0,0497	1,03504966893373	DPF3	D4, zinc and double PHD fingers, family 3
10025909087	1,48E-11	3,35E-12	7,3522767	16,9715935	0,0495	1,03490619052717	FIZ1	FLT3-interacting zinc finger 1
10023817931	1,17E-05	4,72E-06	4,6878971	3,1922626	0,0495	1,03490619052717	ZNF24	zinc finger protein 24
10025911117	1,32E-06	4,8E-07	5,1810042	5,3918384	0,0494	1,03483445878242	ZCWPW1	zinc finger, CW type with PWWP domain 1
10025907096	2,59E-06	9,73E-07	5,0325003	4,7107869	0,0492	1,03469101020826	ZNF345	zinc finger protein 345
10025905630	9,58E-05	4,29E-05	4,1709916	1,0833649	0,049	1,03454758151891	ZNF426	zinc finger protein 426
10025909483	1,74E-06	6,41E-07	5,1206009	5,112922	0,0486	1,03426078378364	ZNF524	zinc finger protein 524
10023821272	1,69E-05	6,95E-06	4,6004829	2,8211447	0,0482	1,03397406555457	ZNF787	zinc finger protein 787
10025902327	1,36E-07	4,48E-08	5,6591793	7,6893534	0,0477	1,03361577954023	ZNF767	zinc finger family member 767
10025912789	7,1E-11	1,72E-11	7,079236	15,3654251	0,0475	1,03347249989918	CTCF	CCCTC-binding factor (zinc finger protein)
10025926294	1,05E-08	3,11E-09	6,1650464	10,2847227	0,0474	1,03340086752684	ZNF674	zinc finger protein 674
10025912065	1,33E-08	3,99E-09	6,1189126	10,0413266	0,047	1,03311438768413	GLIS2	GLIS family zinc finger 2
10025902736	1,06E-14	1,76E-15	8,5443801	24,3970109	0,047	1,03311438768413	ZNF34	zinc finger protein 34
10023835696	0,029	0,0185	2,3725559	-4,5206168	0,0468	1,03297117754593	ZNF207	zinc finger protein 207
10023842336	2E-06	7,41E-07	5,090115	4,9731392	0,0466	1,03282798725949	ZNF93	zinc finger protein 93
10025910290	2,27E-05	9,5E-06	4,5289913	2,5219483	0,0457	1,03218387656232	ZNF205	zinc finger protein 205
10025920776	1,72E-06	6,33E-07	5,1233986	5,1257834	0,0456	1,03211233350746	ZC3H14	zinc finger CCCH-type containing 14
10025935575	1,33E-06	4,86E-07	5,178716	5,3812253	0,0444	1,03125420353837	ZMYM1	zinc finger, MYM-type 1
10025904233	5,27E-08	1,67E-08	5,8496294	8,6472159	0,0444	1,03125420353837	ZNF688	zinc finger protein 688
10025908762	6,22E-06	2,43E-06	4,8347527	3,82867	0,0443	1,03118272492129	ZNF148	zinc finger protein 148
